orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
D-93,all,11,9,204,251,12,38078,0,0,0,0,0,D,3,Capillary 1 cell,30,10,2,2,2_3,Vein
D-94,all,125,47,1111,1638,26,129916,0,0,0,0,0,D,18,Alveolar type 1 cell,42,20,6,6,6,AT1
D-95,all,44,12,123,1044,37,34969,0,0,0,0,0,D,36,Alveolar type 2 cell,46,12,1,1,1_3,AT2
D-97,all,26,12,398,977,34,44030,0,0,0,0,0,D,10,T regulatory cell,44,12,7,7,7_2,PatrolMac
D-102,all,49,13,260,1833,30,78696,0,0,0,0,0,D,41,Alveolar type 2 cell,48,13,1,1,1_3,AT2
D-105,all,7,5,28,990,9,17246,0,0,0,0,0,D,2,Basophil,26,7,2,2,2_5,DC
D-106,all,24,18,649,130,10,52648,0,0,0,0,0,D,6,B cell,44,18,9,9,9,Bcell
D-107,all,13,10,941,186,16,41460,0,0,0,0,0,D,4,Sox9+/Id2+ epithelial cell,26,10,3,3,3_4,AdventitialFib
D-108,all,72,31,783,740,18,84250,0,0,0,0,0,D,18,Alveolar type 1 cell,54,31,6,6,6,AT1
D-109,all,8,4,1444,1686,8,17919,0,0,0,0,0,D,4,Arterial endothelial cell,23,6,2,2,2_4,Artery
D-110,all,89,15,1235,1704,18,64740,0,0,0,0,0,D,75,Alveolar type 2 cell,53,15,1,1,1_3,AT2
D-111,all,20,13,409,1276,18,36106,0,0,0,0,0,D,2,Endothelial progenitor cell,39,13,7,7,7_3,Tcell (CD8)
D-112,all,17,4,308,1738,39,16987,0,0,0,0,0,D,13,Alveolar type 2 cell,41,4,1,1,1_1,AT2
D-113,all,43,24,307,1077,26,97482,0,0,0,0,0,D,8,Interstitial macrophage,43,24,9,9,9,Bcell
D-114,all,8,5,1263,123,38,21410,0,0,0,0,0,D,3,Alveolar fibroblast 1,30,6,3,3,3_1,SMC
D-116,all,9,5,204,572,28,23736,0,0,0,0,0,D,3,B cell,23,6,5,5,5_1,Pericyte
D-117,all,24,19,1121,1348,36,63554,0,0,0,0,0,D,12,Pericyte,45,19,5,5,5_1,Pericyte
D-118,all,91,26,298,1555,31,67119,0,0,0,0,0,D,12,Alveolar type 1 cell,58,26,6,6,6,AT1
D-119,all,26,16,965,825,33,41459,0,0,0,0,0,D,12,Alveolar fibroblast 1,45,17,3,3,3_1,SMC
D-121,all,59,29,559,1732,33,65476,0,0,0,0,0,D,21,Alveolar type 2 cell,55,30,2,2,2_1,Capillary
D-122,all,20,15,1139,1705,11,62468,0,0,0,0,0,D,11,Neutrophil,36,15,3,3,3_2,SMC
D-123,all,53,17,845,1808,23,71473,0,0,0,0,0,D,33,Alveolar type 2 cell,50,17,1,1,1_1,AT2
D-124,all,40,19,696,570,21,66097,0,0,0,0,0,D,9,Alveolar type 1 cell,43,19,6,6,6,AT1
D-125,all,55,20,410,696,26,59909,0,0,0,0,0,D,10,Alveolar type 1 cell,51,20,6,6,6,AT1
D-127,all,29,14,1761,1778,31,55401,0,0,0,0,0,D,12,Alveolar macrophage,39,14,8,8,8_1,AlveolarMac
D-128,all,7,6,364,1019,30,13168,0,0,0,0,0,D,4,Alveolar type 2 cell,32,7,1,1,1_1,AT2
D-129,all,16,13,1489,1674,16,54021,0,0,0,0,0,D,4,Pericyte,34,13,5,5,5_1,Pericyte
D-130,all,12,10,1505,1635,17,42289,0,0,0,0,0,D,2,Alveolar type 1 cell,31,10,6,6,6,AT1
D-131,all,71,39,50,913,21,116808,0,0,0,0,0,D,18,B cell,58,39,9,9,9,Bcell
D-132,all,38,26,1630,51,32,72050,0,0,0,0,0,D,10,Alveolar fibroblast 1,42,26,9,9,9,Bcell
D-133,all,66,14,1892,1013,28,77181,0,0,0,0,0,D,52,Sox9+/Id2+ epithelial cell,51,14,1,1,1_1,AT2
D-135,all,45,20,112,480,32,66851,0,0,0,0,0,D,6,Sox9+/Id2+ epithelial cell,46,20,6,6,6,AT1
D-137,all,20,15,923,1805,36,40524,0,0,0,0,0,D,4,Vascular smooth muscle cell,40,16,2,2,2_4,Artery
D-139,all,24,16,1239,228,29,74773,0,0,0,0,0,D,9,Sox9+/Id2+ epithelial cell,46,18,2,2,2_5,DC
D-140,all,30,19,387,1092,24,94115,0,0,0,0,0,D,5,Endothelial progenitor cell,40,20,2,2,2_1,Capillary
D-141,all,50,21,835,774,16,93986,0,0,0,0,0,D,13,Sox9+/Id2+ epithelial cell,50,22,3,3,3_1,SMC
D-142,all,49,16,275,414,24,58565,0,0,0,0,0,D,31,Alveolar type 2 cell,49,16,1,1,1_1,AT2
D-143,all,55,21,831,1891,36,65318,0,0,0,0,0,D,11,Alveolar macrophage,51,21,6,6,6,AT1
D-144,all,100,15,141,864,27,71393,0,0,0,0,0,D,84,Alveolar type 2 cell,51,11,1,1,1_3,AT2
D-145,all,41,19,1671,1023,17,88050,0,0,0,0,0,D,20,Alveolar fibroblast 1,45,20,3,3,3_1,SMC
D-146,all,43,24,617,145,27,71110,0,0,0,0,0,D,12,Natural killer cell,44,24,7,7,7_3,Tcell (CD8)
D-147,all,26,20,1409,1398,28,66196,0,0,0,0,0,D,9,Alveolar fibroblast 1,37,20,1,1,1_5_1,LymphaticEndo
D-150,all,9,6,10,967,8,21317,0,0,0,0,0,D,6,Pericyte,24,7,5,5,5_1,Pericyte
D-151,all,31,17,955,1278,17,68341,0,0,0,0,0,D,5,Inflammatory monocyte,42,19,2,2,2_5,DC
D-152,all,9,7,780,1414,6,18074,0,0,0,0,0,D,3,Endothelial progenitor cell,25,8,3,3,3_6,SCMF
D-153,all,45,22,887,1179,28,87345,0,0,0,0,0,D,10,Alveolar fibroblast 1,45,22,1,1,1_5_1,LymphaticEndo
D-154,all,29,18,895,1945,23,75239,0,0,0,0,0,D,9,Alveolar fibroblast 1,38,19,3,3,3_2,SMC
D-155,all,25,14,420,134,17,38403,0,0,0,0,0,D,5,Alveolar type 1 cell,45,14,6,6,6,AT1
D-157,all,37,23,673,622,26,86382,0,0,0,0,0,D,10,Alveolar type 1 cell,42,23,6,6,6,AT1
D-158,all,57,31,944,1486,16,97882,0,0,0,0,0,D,9,Sox9+/Id2+ epithelial cell,55,32,2,2,2_1,Capillary
D-159,all,20,13,937,519,14,44291,0,0,0,0,0,D,3,Natural killer cell,39,13,7,7,7_4,PatrolMac
D-161,all,59,11,927,1739,20,36858,0,0,0,0,0,D,8,Alveolar fibroblast 2,51,11,3,3,3_4,AdventitialFib
D-162,all,55,13,1459,1774,27,55000,0,0,0,0,0,D,6,Alveolar fibroblast 1,51,13,6,6,6,AT1
D-163,all,24,15,696,993,11,33971,0,0,0,0,0,D,5,Alveolar fibroblast 1,43,15,1,1,1_3,AT2
D-164,all,32,17,152,771,29,69511,0,0,0,0,0,D,5,B cell,41,17,9,9,9,Bcell
D-165,all,12,10,201,1913,36,27201,0,0,0,0,0,D,2,Inflammatory monocyte,35,11,2,2,2_2,InflamMac
D-167,all,15,10,298,372,17,52051,0,0,0,0,0,D,3,Sox9+/Id2+ epithelial cell,31,10,3,3,3_6,SCMF
D-168,all,67,13,1237,1271,18,83631,0,0,0,0,0,D,47,Alveolar type 2 cell,50,13,1,1,1_1,AT2
D-169,all,21,9,338,24,13,45160,0,0,0,0,0,D,2,Innate lymphoid cell,40,10,1,1,1_6_2,Neutrophil
D-171,all,57,18,1650,463,11,64776,0,0,0,0,0,D,45,Sox9+/Id2+ epithelial cell,51,18,1,1,1_1,AT2
D-173,all,97,16,1216,181,11,63169,0,0,0,0,0,D,83,Alveolar type 2 cell,55,16,1,1,1_1,AT2
D-174,all,31,7,1492,1746,25,33314,0,0,0,0,0,D,28,Alveolar type 2 cell,43,7,1,1,1_1,AT2
D-177,all,60,32,890,191,12,102493,50,50,0,1,0,D,18,Arterial endothelial cell,56,33,3,3,3_1,SMC
D-178,all,9,6,1746,1733,26,52840,0,0,0,0,0,D,3,B cell,29,6,2,2,2_6,pDC
D-179,all,29,7,930,853,18,34023,0,0,0,0,0,D,24,Sox9+/Id2+ epithelial cell,42,7,1,1,1_1,AT2
D-180,all,19,14,1067,235,22,61051,0,0,0,0,0,D,4,Capillary 1 cell,38,14,2,2,2_1,Capillary
D-182,all,16,9,702,1552,14,35487,0,0,0,0,0,D,8,Mature DC subset,39,10,2,2,2_1,Capillary
D-186,all,25,8,1887,1892,12,55161,0,0,0,0,0,D,16,Alveolar type 2 cell,44,8,1,1,1_1,AT2
D-190,all,42,13,896,1756,21,55907,0,0,0,0,0,D,5,Mesothelial cell,45,13,3,3,3_3,AdventitialFib
D-194,all,44,30,112,765,20,92630,0,0,0,0,0,D,4,Arterial endothelial cell,47,31,2,2,2_4,Artery
D-195,all,12,8,834,415,14,72989,0,0,0,0,0,D,4,Alveolar type 1 cell,29,8,6,6,6,AT1
D-196,all,23,8,1920,1918,17,65242,0,0,0,0,0,D,18,Secondary crest myofibroblast,42,9,3,3,3_1,SMC
D-199,all,25,19,326,348,32,65919,0,0,0,0,0,D,4,Innate lymphoid cell,43,19,7,7,7_2,PatrolMac
D-200,all,10,7,237,282,19,35605,0,0,0,0,0,D,6,Capillary 1 cell,26,10,2,2,2_1,Capillary
D-201,all,79,34,1165,1439,19,100534,0,0,0,0,0,D,16,Alveolar macrophage,58,34,8,8,8_1,AlveolarMac
D-204,all,50,24,1863,1570,18,102478,0,0,0,0,0,D,14,Alveolar macrophage,50,25,2,2,2_1,Capillary
D-205,all,17,9,1,1998,27,17162,0,0,0,0,0,D,4,Inflammatory monocyte,41,11,2,2,2_1,Capillary
D-206,all,26,16,1176,1786,32,35797,0,0,0,0,0,D,11,Arterial endothelial cell,43,17,2,2,2_4,Artery
D-207,all,22,14,1055,1100,32,46330,0,0,0,0,0,D,2,Venous endothelial cell,40,14,2,2,2_3,Vein
D-208,all,25,12,1716,1342,13,46538,0,0,0,0,0,D,3,Sox9+/Id2+ epithelial cell,47,13,1,1,1_4_1,AlveolarFib
D-209,all,22,12,1724,1799,12,60627,0,0,0,0,0,D,2,Alveolar macrophage,41,12,1,1,1_2_3,Tcell (CD4)
D-210,all,27,12,904,1052,12,58659,0,0,0,0,0,D,6,Pericyte,39,12,5,5,5_3,Pericyte
D-211,all,37,20,216,901,25,49944,0,0,0,0,0,D,4,Alveolar type 1 cell,42,21,1,1,1_4_1,AlveolarFib
D-212,all,82,38,1083,1598,24,78911,0,0,0,0,0,D,38,Arterial endothelial cell,58,38,2,2,2_4,Artery
D-213,all,105,28,1727,1391,20,82321,0,0,0,0,0,D,24,Arterial endothelial cell,56,21,6,6,6,AT1
D-214,all,13,10,1702,1281,31,41740,0,0,0,0,0,D,9,Pericyte,33,10,5,5,5_1,Pericyte
D-217,all,19,18,1698,130,12,47501,0,0,0,0,0,D,3,Venous endothelial cell,37,18,2,2,2_3,Vein
D-218,all,24,15,208,1746,25,40098,0,0,0,0,0,D,6,Interstitial macrophage,38,15,8,8,8_3,InterstitialMac
D-219,all,25,13,1916,842,33,43903,0,0,0,0,0,D,3,Endothelial progenitor cell,42,14,2,2,2_1,Capillary
D-221,all,118,19,679,1596,24,103550,0,0,0,0,0,D,98,Alveolar type 2 cell,48,10,1,1,1_1,AT2
D-222,all,23,14,958,550,15,36396,121,0,121,0,1,D,6,Alveolar type 1 cell,42,15,3,3,3_1,SMC
D-224,all,24,21,1210,283,27,96289,0,0,0,0,0,D,7,Pericyte,44,21,5,5,5_1,Pericyte
D-225,all,89,27,1040,1604,14,65552,0,0,0,0,0,D,68,Alveolar type 2 cell,57,25,7,7,7_2,PatrolMac
D-226,all,48,29,27,624,12,53453,0,0,0,0,0,D,3,Venous endothelial cell,48,29,2,2,2_3,Vein
D-227,all,67,20,1864,1103,14,95969,0,0,0,0,0,D,2,Alveolar type 1 cell,54,20,6,6,6,AT1
D-228,all,20,14,1600,1259,11,59079,0,0,0,0,0,D,3,Proliferative mesenchymal progenitor cell,39,15,1,1,1_6_2,Neutrophil
D-231,all,12,8,1799,1284,9,40804,0,0,0,0,0,D,3,Alveolar fibroblast 1,32,10,1,1,1_5_1,LymphaticEndo
D-234,all,116,15,1527,615,16,72245,0,0,0,0,0,D,101,Alveolar type 2 cell,47,7,3,3,3_5,SMC
D-236,all,30,9,728,1598,14,48862,0,0,0,0,0,D,11,Arterial endothelial cell,45,9,2,2,2_4,Artery
D-237,all,10,6,1679,1311,10,29875,0,0,0,0,0,D,4,CD8+ T cell,37,7,2,2,2_2,InflamMac
D-239,all,24,17,589,580,35,90458,0,0,0,0,0,D,3,Inflammatory monocyte,44,17,5,5,5_3,Pericyte
D-240,all,41,27,7,922,22,88885,0,0,0,0,0,D,8,Alveolar fibroblast 1,43,27,2,2,2_3,Vein
D-241,all,51,28,319,1490,18,91602,0,0,0,0,0,D,14,Alveolar type 1 cell,51,28,3,3,3_6,SCMF
D-242,all,16,9,1128,1040,19,39345,0,0,0,0,0,D,8,Alveolar type 2 cell,40,11,2,2,2_5,DC
D-243,all,31,9,645,899,39,30254,0,0,0,0,0,D,23,Alveolar type 2 cell,44,9,1,1,1_1,AT2
D-245,all,16,10,665,801,19,83739,0,0,0,0,0,D,2,Innate lymphoid cell,36,11,1,1,1_4_1,AlveolarFib
D-247,all,16,10,92,1064,21,47371,0,0,0,0,0,D,3,Sox9+/Id2+ epithelial cell,38,10,1,1,1_3,AT2
D-248,all,31,18,684,527,9,57838,113,0,113,0,1,D,9,Arterial endothelial cell,41,18,7,7,7_2,PatrolMac
D-250,all,43,26,236,228,22,70117,0,0,0,0,0,D,8,Sox9+/Id2+ epithelial cell,45,26,2,2,2_1,Capillary
D-251,all,36,15,699,900,30,65778,0,0,0,0,0,D,17,Alveolar type 2 cell,44,15,1,1,1_3,AT2
D-252,all,45,22,1435,1762,11,40447,0,0,0,0,0,D,5,Arterial endothelial cell,47,23,2,2,2_4,Artery
D-253,all,31,22,40,1063,10,50566,0,0,0,0,0,D,7,Pericyte,39,22,5,5,5_1,Pericyte
D-254,all,26,15,1256,1614,5,27297,0,0,0,0,0,D,5,Capillary 1 cell,39,16,2,2,2_1,Capillary
D-255,all,23,13,775,1859,22,38953,0,0,0,0,0,D,9,Arterial endothelial cell,41,13,2,2,2_4,Artery
D-260,all,32,21,399,664,31,82506,0,0,0,0,0,D,11,Alveolar fibroblast 1,38,21,6,6,6,AT1
D-262,all,45,18,797,256,25,89969,0,0,0,0,0,D,15,Proliferative mesenchymal progenitor cell,46,18,6,6,6,AT1
D-264,all,53,14,365,987,22,57083,0,0,0,0,0,D,43,Alveolar type 2 cell,50,14,1,1,1_3,AT2
D-265,all,20,16,1812,268,15,54054,0,0,0,0,0,D,2,Endothelial progenitor cell,36,15,2,2,2_1,Capillary
D-266,all,66,18,181,867,24,86935,0,0,0,0,0,D,36,Sox9+/Id2+ epithelial cell,54,18,1,1,1_1,AT2
D-270,all,37,22,698,171,20,79553,0,0,0,0,0,D,5,Alveolar fibroblast 1,41,22,2,2,2_3,Vein
D-272,all,19,11,899,1274,10,39646,0,0,0,0,0,D,4,CD8+ T cell,40,12,2,2,2_1,Capillary
D-273,all,61,27,477,59,17,91038,0,0,0,0,0,D,20,Alveolar type 1 cell,54,27,6,6,6,AT1
D-274,all,12,7,1942,0,8,39468,0,0,0,0,0,D,4,Basophil,29,9,2,2,2_5,DC
