orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
G-140,all,44,11,143,1089,13,32396,0,0,0,0,0,G,33,Alveolar type 2 cell,47,11,7,7,7_2,PatrolMac
G-149,all,42,28,1794,917,31,78863,0,0,0,0,0,G,10,Proliferative mesenchymal progenitor cell,44,29,3,3,3_1,SMC
G-150,all,26,13,1877,385,23,63210,0,0,0,0,0,G,8,Mesothelial cell,40,15,2,2,2_4,Artery
G-151,all,91,26,307,1611,18,103073,50,0,50,0,1,G,62,Alveolar type 2 cell,55,24,1,1,1_3,AT2
G-153,all,14,10,283,957,12,25089,0,0,0,0,0,G,5,Sox9+/Id2+ epithelial cell,31,10,3,3,3_6,SCMF
G-156,all,24,9,405,987,6,19569,0,0,0,0,0,G,15,Alveolar type 2 cell,44,9,1,1,1_1,AT2
G-157,all,52,31,386,1458,28,49139,0,0,0,0,0,G,3,Alveolar fibroblast 2,51,31,3,3,3_3,AdventitialFib
G-159,all,12,11,426,1071,37,22674,0,0,0,0,0,G,2,Capillary 1 cell,35,11,2,2,2_6,pDC
G-160,all,36,26,1909,348,29,80421,0,0,0,0,0,G,17,Vascular smooth muscle cell,45,27,3,3,3_2,SMC
G-161,all,23,10,410,1281,34,18108,0,0,0,0,0,G,14,Alveolar type 2 cell,44,11,2,2,2_2,InflamMac
G-162,all,77,35,432,1111,29,59456,0,0,0,0,0,G,38,AT1/AT2,57,36,3,3,3_5,SMC
G-164,all,53,32,409,1617,32,52234,0,0,0,0,0,G,7,Alveolar macrophage,52,32,8,8,8_3,InterstitialMac
G-167,all,56,36,219,949,26,82417,0,0,0,0,0,G,21,Vascular smooth muscle cell,55,36,5,5,5_1,Pericyte
G-168,all,19,10,995,707,23,37318,0,0,0,0,0,G,2,Endothelial progenitor cell,36,11,3,3,3_5,SMC
G-170,all,66,24,1643,220,27,80029,0,0,0,0,0,G,3,Mesothelial cell,59,24,3,3,3_3,AdventitialFib
G-173,all,51,26,1570,1000,19,94094,0,0,0,0,0,G,8,Alveolar type 2 cell,51,26,1,1,1_5_2,AlveolarFib
G-175,all,45,29,339,1478,19,57797,0,0,0,0,0,G,4,Alveolar fibroblast 1,48,30,3,3,3_5,SMC
G-176,all,68,35,121,995,28,90822,0,0,0,0,0,G,12,Alveolar fibroblast 1,59,36,2,2,2_4,Artery
G-177,all,13,9,1409,534,26,32858,0,0,0,0,0,G,2,Alveolar fibroblast 1,30,10,1,1,1_5_2,AlveolarFib
G-178,all,14,8,1809,371,38,23150,0,0,0,0,0,G,5,Mesothelial cell,31,8,3,3,3_3,AdventitialFib
G-180,all,52,26,356,156,17,44511,0,0,0,0,0,G,5,Alveolar fibroblast 2,51,26,3,3,3_3,AdventitialFib
G-182,all,104,24,412,1020,13,78105,0,0,0,0,0,G,74,Alveolar type 2 cell,52,18,1,1,1_3,AT2
G-185,all,15,12,1027,653,16,21214,0,0,0,0,0,G,6,Sox9+/Id2+ epithelial cell,32,12,1,1,1_3,AT2
G-186,all,60,35,212,995,27,60379,0,0,0,0,0,G,17,Arterial endothelial cell,57,35,2,2,2_4,Artery
G-188,all,55,27,435,1154,18,64262,0,0,0,0,0,G,8,Alveolar type 1 cell,55,28,1,1,1_4_1,AlveolarFib
G-190,all,38,28,1467,89,25,73630,0,0,0,0,0,G,5,Alveolar fibroblast 1,42,28,9,9,9,Bcell
G-192,all,36,10,926,776,17,30635,0,0,0,0,0,G,33,Alveolar type 2 cell,45,10,1,1,1_3,AT2
G-194,all,15,13,1683,1159,11,17493,0,0,0,0,0,G,2,Interstitial macrophage,29,13,8,8,8_2,InterstitialMac
G-195,all,15,7,389,643,38,26360,0,0,0,0,0,G,8,Sox9+/Id2+ epithelial cell,37,7,1,1,1_1,AT2
G-196,all,30,18,410,1513,13,22837,0,0,0,0,0,G,4,Interstitial macrophage,38,18,8,8,8_2,InterstitialMac
G-200,all,55,23,902,785,25,56398,0,0,0,0,0,G,23,Alveolar type 2 cell,52,23,1,1,1_1,AT2
G-201,all,15,9,1591,69,28,34680,0,0,0,0,0,G,2,Proliferative mesenchymal progenitor cell,32,9,2,2,2_6,pDC
G-205,all,41,22,12,537,13,48679,0,0,0,0,0,G,6,Alveolar type 1 cell,44,23,3,3,3_5,SMC
G-206,all,59,25,1885,289,28,71435,0,0,0,0,0,G,17,Alveolar fibroblast 2,54,25,3,3,3_3,AdventitialFib
G-208,all,87,32,232,1031,29,62485,0,0,0,0,0,G,43,Interstitial macrophage,58,32,1,1,1_3,AT2
G-209,all,75,29,366,1322,24,61865,0,0,0,0,0,G,40,Alveolar type 2 cell,56,29,1,1,1_3,AT2
G-212,all,57,32,867,722,19,104160,0,0,0,0,0,G,7,Alveolar fibroblast 1,55,32,3,3,3_4,AdventitialFib
G-213,all,8,6,1788,1065,34,13620,0,0,0,0,0,G,2,Innate lymphoid cell,28,8,2,2,2_5,DC
G-214,all,28,20,1308,148,23,50785,0,0,0,0,0,G,8,Innate lymphoid cell,39,20,3,3,3_3,AdventitialFib
G-216,all,30,20,1900,489,20,72419,0,0,0,0,0,G,9,Arterial endothelial cell,36,20,2,2,2_4,Artery
G-217,all,58,33,1032,779,28,64324,0,0,0,0,0,G,6,B cell,56,33,9,9,9,Bcell
G-219,all,10,7,1313,112,23,23365,0,0,0,0,0,G,4,Mesothelial cell,29,7,1,1,1_3,AT2
G-222,all,18,11,257,126,11,18502,0,0,0,0,0,G,2,Mesothelial cell,36,11,3,3,3_3,AdventitialFib
G-223,all,8,4,1785,0,36,16180,0,0,0,0,0,G,2,Mesothelial cell,25,6,3,3,3_3,AdventitialFib
G-225,all,213,42,368,1262,20,144464,0,0,0,0,0,G,144,Alveolar type 2 cell,49,16,1,1,1_1,AT2
G-226,all,73,36,1833,1678,18,76138,0,0,0,0,0,G,7,Alveolar fibroblast 1,56,38,2,2,2_5,DC
G-231,all,48,18,1016,618,19,66254,0,0,0,0,0,G,30,Alveolar type 2 cell,48,18,1,1,1_3,AT2
G-232,all,19,14,54,374,28,27276,0,0,0,0,0,G,3,Interstitial macrophage,37,14,8,8,8_3,InterstitialMac
G-233,all,20,15,962,920,12,22817,0,0,0,0,0,G,7,Alveolar fibroblast 2,39,15,3,3,3_3,AdventitialFib
G-234,all,20,17,302,154,10,11579,0,0,0,0,0,G,4,B cell,40,17,9,9,9,Bcell
G-235,all,53,28,1819,1882,16,114556,0,0,0,0,0,G,11,Alveolar fibroblast 1,53,28,3,3,3_3,AdventitialFib
G-236,all,21,11,1939,495,14,27159,0,0,0,0,0,G,4,Secondary crest myofibroblast,43,12,3,3,3_2,SMC
G-238,all,14,7,838,588,5,20984,0,0,0,0,0,G,2,Natural killer cell,29,8,2,2,2_2,InflamMac
