orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
H-158,all,33,21,1818,636,18,65378,0,0,0,0,0,H,8,Alveolar macrophage,41,21,2,2,2_1,Capillary
H-159,all,153,32,1257,1088,11,86758,0,0,0,0,0,H,117,Sox9+/Id2+ epithelial cell,45,10,1,1,1_1,AT2
H-162,all,54,29,668,25,15,70950,0,0,0,0,0,H,14,Arterial endothelial cell,53,29,2,2,2_4,Artery
H-163,all,24,16,1742,1892,8,60629,0,0,0,0,0,H,4,Alveolar macrophage,40,16,1,1,1_3,AT2
H-164,all,15,12,264,168,26,31239,0,0,0,0,0,H,5,Capillary 1 cell,30,12,3,3,3_6,SCMF
H-165,all,50,19,209,96,17,55821,0,0,0,0,0,H,34,Alveolar fibroblast 1,50,20,3,3,3_1,SMC
H-168,all,49,29,880,816,7,42880,53,53,0,1,0,H,10,Capillary 1 cell,49,29,9,9,9,Bcell
H-169,all,36,28,251,1165,24,75211,0,0,0,0,0,H,5,Alveolar fibroblast 1,39,28,5,5,5_3,Pericyte
H-172,all,30,23,333,1744,18,42236,0,0,0,0,0,H,6,Inflammatory monocyte,39,25,2,2,2_5,DC
H-174,all,37,21,1133,119,19,58054,0,0,0,0,0,H,6,Capillary 1 cell,43,21,2,2,2_1,Capillary
H-175,all,32,12,1193,488,22,33821,374,374,0,1,0,H,15,Alveolar macrophage,42,12,8,8,8_1,AlveolarMac
H-176,all,21,10,272,1291,37,21538,0,0,0,0,0,H,11,Sox9+/Id2+ epithelial cell,43,11,2,2,2_1,Capillary
H-177,all,48,32,945,639,12,68298,56,0,56,0,1,H,14,Sox9+/Id2+ epithelial cell,45,31,2,2,2_1,Capillary
H-178,all,109,28,1199,512,14,62807,280,0,280,0,1,H,84,Alveolar type 2 cell,54,21,1,1,1_1,AT2
H-179,all,17,13,215,1900,26,57095,0,0,0,0,0,H,3,CD8+ T cell,33,13,7,7,7_2,PatrolMac
H-180,all,11,10,308,53,35,37838,0,0,0,0,0,H,2,Sox9+/Id2+ epithelial cell,29,10,3,3,3_6,SCMF
H-181,all,110,28,1344,86,14,80465,0,0,0,0,0,H,78,Alveolar type 2 cell,47,14,1,1,1_3,AT2
H-183,all,42,31,1099,1370,23,68285,0,0,0,0,0,H,12,Inflammatory monocyte,43,31,8,8,8_2,InterstitialMac
H-184,all,15,10,1055,1641,7,12872,0,0,0,0,0,H,4,Alveolar fibroblast 1,36,11,3,3,3_1,SMC
H-186,all,21,17,1022,1566,29,42981,0,0,0,0,0,H,11,Alveolar macrophage,41,17,5,5,5_3,Pericyte
H-188,all,37,29,1345,1532,8,62474,0,0,0,0,0,H,13,Inflammatory monocyte,38,29,2,2,2_1,Capillary
H-189,all,37,25,693,446,10,50543,0,0,0,0,0,H,8,Neutrophil,41,25,3,3,3_1,SMC
H-190,all,61,30,1211,392,15,72769,52,0,52,0,1,H,29,Sox9+/Id2+ epithelial cell,55,30,1,1,1_3,AT2
H-192,all,74,16,367,90,28,65831,0,0,0,0,0,H,48,Alveolar type 2 cell,53,16,1,1,1_3,AT2
H-193,all,10,4,1407,136,37,33101,0,0,0,0,0,H,6,Sox9+/Id2+ epithelial cell,34,4,1,1,1_1,AT2
H-194,all,41,16,468,1536,24,49259,0,0,0,0,0,H,30,Alveolar type 2 cell,44,16,1,1,1_1,AT2
H-196,all,22,4,561,293,39,23432,0,0,0,0,0,H,19,Alveolar type 2 cell,42,4,1,1,1_1,AT2
H-197,all,80,26,1100,1531,11,48070,0,0,0,0,0,H,14,Alveolar type 1 cell,56,26,6,6,6,AT1
H-198,all,96,43,1226,583,19,109547,0,0,0,0,0,H,18,Alveolar fibroblast 1,62,43,2,2,2_3,Vein
H-200,all,31,16,63,1865,37,48296,0,0,0,0,0,H,2,Sox9+/Id2+ epithelial cell,41,16,3,3,3_6,SCMF
H-201,all,57,36,334,1464,24,101897,0,0,0,0,0,H,13,Alveolar fibroblast 1,55,36,7,7,7_3,Tcell (CD8)
