orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
C-291,all,23,17,1194,1608,34,26078,0,0,0,0,0,C,4,Alveolar fibroblast 1,43,18,2,2,2_3,Vein
C-293,all,35,17,102,1499,22,70929,0,0,0,0,0,C,22,Sox9+/Id2+ epithelial cell,42,17,3,3,3_4,AdventitialFib
C-294,all,32,18,387,981,36,81494,0,0,0,0,0,C,4,Alveolar type 1 cell,42,18,1,1,1_5_2,AlveolarFib
C-296,all,9,6,827,4,30,18792,0,0,0,0,0,C,3,Natural killer cell,28,7,7,7,7_2,PatrolMac
C-298,all,24,19,53,1949,36,56810,0,0,0,0,0,C,2,Natural killer cell,41,21,2,2,2_5,DC
C-299,all,80,14,10,790,19,56120,0,0,0,0,0,C,74,Alveolar type 2 cell,53,14,1,1,1_3,AT2
C-301,all,92,18,1799,548,24,76540,0,0,0,0,0,C,20,Alveolar type 1 cell,53,17,6,6,6,AT1
C-303,all,15,10,651,1412,31,46565,0,0,0,0,0,C,6,Alveolar type 2 cell,37,11,2,2,2_2,InflamMac
C-304,all,52,27,1527,1730,25,83264,0,0,0,0,0,C,4,Capillary 1 cell,52,27,2,2,2_3,Vein
C-305,all,31,22,856,1550,11,68943,0,0,0,0,0,C,4,Sox9+/Id2+ epithelial cell,41,23,2,2,2_2,InflamMac
C-307,all,35,13,1781,43,23,74731,0,0,0,0,0,C,10,Alveolar fibroblast 1,45,14,2,2,2_4,Artery
C-309,all,25,16,1920,337,20,96909,0,0,0,0,0,C,4,Alveolar type 1 cell,46,16,7,7,7_3,Tcell (CD8)
C-310,all,48,14,343,938,38,52858,0,0,0,0,0,C,11,Alveolar type 1 cell,48,14,6,6,6,AT1
C-311,all,20,15,1372,936,21,27239,0,0,0,0,0,C,9,Arterial endothelial cell,40,15,7,7,7_2,PatrolMac
C-312,all,39,26,1519,1825,17,102969,0,0,0,0,0,C,13,Arterial endothelial cell,41,26,6,6,6,AT1
C-314,all,52,23,848,1067,25,91138,0,0,0,0,0,C,26,Pericyte,50,23,5,5,5_1,Pericyte
C-316,all,8,3,119,489,37,14616,0,0,0,0,0,C,7,Alveolar type 2 cell,33,5,1,1,1_1,AT2
C-317,all,22,15,794,1759,26,54560,0,0,0,0,0,C,3,Alveolar fibroblast 1,41,15,2,2,2_3,Vein
C-319,all,33,19,1022,681,34,52304,0,0,0,0,0,C,9,Alveolar fibroblast 1,41,19,6,6,6,AT1
C-320,all,6,6,1436,876,9,29508,0,0,0,0,0,C,4,Pericyte,16,9,5,5,5_3,Pericyte
C-321,all,35,23,1668,1429,36,39286,0,0,0,0,0,C,2,Alveolar type 1 cell,43,23,6,6,6,AT1
C-325,all,69,39,395,58,22,121597,0,0,0,0,0,C,12,Alveolar macrophage,58,39,8,8,8_1,AlveolarMac
C-329,all,22,15,66,1300,28,58671,0,0,0,0,0,C,5,Proliferative mesenchymal progenitor cell,39,15,3,3,3_4,AdventitialFib
C-331,all,27,10,939,789,38,16286,0,0,0,0,0,C,4,Alveolar type 1 cell,42,10,6,6,6,AT1
