orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
A-89,all,82,25,1537,309,26,79819,0,0,0,0,0,A,4,Innate lymphoid cell,57,25,1,1,1_5_2,AlveolarFib
A-90,all,71,35,831,1914,21,82269,0,0,0,0,0,A,8,Capillary 1 cell,55,35,2,2,2_3,Vein
A-91,all,26,9,488,349,37,22023,0,0,0,0,0,A,20,Alveolar type 2 cell,46,9,1,1,1_1,AT2
A-94,all,44,16,1114,1191,10,33130,0,0,0,0,0,A,28,Alveolar type 2 cell,46,16,1,1,1_3,AT2
A-98,all,79,36,1257,1810,33,69804,0,0,0,0,0,A,15,Capillary 1 cell,54,36,2,2,2_1,Capillary
A-100,all,18,14,501,1451,38,57675,0,0,0,0,0,A,2,Alveolar fibroblast 1,41,15,1,1,1_4_1,AlveolarFib
A-101,all,34,16,954,1221,13,68906,52,0,52,0,1,A,23,Alveolar fibroblast 1,41,17,3,3,3_1,SMC
A-104,all,56,30,1546,889,25,76835,0,0,0,0,0,A,13,Alveolar type 1 cell,54,30,2,2,2_1,Capillary
A-106,all,12,9,500,1022,25,56843,0,0,0,0,0,A,4,Alveolar fibroblast 1,31,10,3,3,3_1,SMC
A-107,all,54,28,1620,1120,17,72555,0,0,0,0,0,A,17,Alveolar type 1 cell,52,28,2,2,2_1,Capillary
A-110,all,9,5,1576,699,34,24858,0,0,0,0,0,A,4,Proliferative mesenchymal progenitor cell,29,6,3,3,3_1,SMC
A-113,all,71,37,1654,448,22,93726,0,0,0,0,0,A,8,Capillary 1 cell,59,36,2,2,2_1,Capillary
A-114,all,81,17,109,1268,20,69750,0,0,0,0,0,A,60,Alveolar type 2 cell,52,17,1,1,1_3,AT2
A-115,all,42,26,1673,1156,29,65670,0,0,0,0,0,A,5,Venous endothelial cell,43,26,2,2,2_1,Capillary
A-119,all,41,16,155,1621,33,41097,0,0,0,0,0,A,27,Alveolar type 2 cell,45,16,1,1,1_3,AT2
A-120,all,22,16,84,1740,25,59527,0,0,0,0,0,A,4,Alveolar fibroblast 1,40,16,1,1,1_5_2,AlveolarFib
A-121,all,18,13,1922,1184,17,37045,0,0,0,0,0,A,2,Sox9+/Id2+ epithelial cell,40,14,3,3,3_2,SMC
A-122,all,36,20,903,1504,31,51601,0,0,0,0,0,A,2,Capillary 2 cell,42,21,2,2,2_2,InflamMac
A-123,all,12,6,1810,1357,8,13929,0,0,0,0,0,A,5,Capillary 1 cell,31,8,2,2,2_5,DC
A-124,all,86,41,1142,465,11,71519,0,0,0,0,0,A,11,Inflammatory monocyte,62,43,2,2,2_5,DC
A-125,all,6,4,273,1317,18,56552,0,0,0,0,0,A,3,Sox9+/Id2+ epithelial cell,30,5,1,1,1_1,AT2
A-126,all,68,37,1046,1716,26,65552,0,0,0,0,0,A,5,Alveolar type 2 cell,54,38,2,2,2_2,InflamMac
A-128,all,11,4,1664,1029,40,13376,0,0,0,0,0,A,5,Alveolar type 1 cell,33,4,6,6,6,AT1
A-129,all,70,36,1844,1459,14,54645,0,0,0,0,0,A,5,Endothelial progenitor cell,52,36,1,1,1_3,AT2
A-130,all,42,27,1856,1423,28,67678,0,0,0,0,0,A,9,Pericyte,46,28,3,3,3_5,SMC
A-131,all,28,5,1475,855,20,21062,0,0,0,0,0,A,25,Sox9+/Id2+ epithelial cell,45,5,2,2,2_1,Capillary
A-132,all,23,6,448,842,10,29661,0,0,0,0,0,A,18,Sox9+/Id2+ epithelial cell,44,6,1,1,1_1,AT2
A-134,all,39,23,921,1449,28,36615,0,0,0,0,0,A,4,Alveolar type 2 cell,43,24,1,1,1_6_2,Neutrophil
A-135,all,31,18,1723,1084,26,29152,0,0,0,0,0,A,3,Vascular smooth muscle cell,41,18,3,3,3_6,SCMF
A-138,all,12,7,196,289,32,26957,0,0,0,0,0,A,7,Secondary crest myofibroblast,30,7,5,5,5_1,Pericyte
