orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
E-238,all,63,23,943,1386,23,60296,0,0,0,0,0,E,2,Natural killer cell,55,24,1,1,1_6_2,Neutrophil
E-240,all,58,27,523,1077,30,76250,0,0,0,0,0,E,20,Inflammatory monocyte,53,28,2,2,2_2,InflamMac
E-241,all,14,10,778,1043,10,39015,0,0,0,0,0,E,4,Pericyte,29,10,5,5,5_1,Pericyte
E-242,all,40,27,621,440,32,70518,0,0,0,0,0,E,4,Proliferative mesenchymal progenitor cell,40,27,5,5,5_3,Pericyte
E-243,all,11,9,752,1059,9,22359,0,0,0,0,0,E,4,Pericyte,30,9,5,5,5_1,Pericyte
E-246,all,98,39,899,1404,23,140267,112,112,0,1,0,E,11,Alveolar fibroblast 1,64,39,2,2,2_1,Capillary
E-248,all,151,50,590,1040,19,123524,0,0,0,0,0,E,83,Alveolar fibroblast 1,45,21,1,1,1_1,AT2
E-249,all,109,29,337,189,19,93893,0,0,0,0,0,E,78,Alveolar type 2 cell,52,20,1,1,1_3,AT2
E-252,all,94,32,61,1264,22,106174,0,0,0,0,0,E,45,Venous endothelial cell,58,31,1,1,1_3,AT2
E-254,all,41,30,315,1048,29,59330,0,0,0,0,0,E,6,Capillary 1 cell,42,31,3,3,3_1,SMC
E-256,all,50,35,1464,697,21,82062,0,0,0,0,0,E,6,Venous endothelial cell,50,35,3,3,3_4,AdventitialFib
E-257,all,49,28,1553,540,19,70965,275,0,275,0,1,E,16,Inflammatory monocyte,49,28,1,1,1_2_3,Tcell (CD4)
E-258,all,18,14,543,60,17,38589,0,0,0,0,0,E,3,Inflammatory monocyte,37,14,5,5,5_3,Pericyte
E-265,all,31,21,1862,278,16,61804,0,0,0,0,0,E,13,Pericyte,41,21,5,5,5_1,Pericyte
E-267,all,73,39,1557,279,24,106411,0,0,0,0,0,E,16,Ciliated cell,55,39,6,6,6,AT1
E-268,all,70,38,586,486,25,70220,0,0,0,0,0,E,13,Alveolar fibroblast 1,57,38,1,1,1_5_1,LymphaticEndo
E-270,all,56,26,1909,1078,24,66487,0,0,0,0,0,E,14,Sox9+/Id2+ epithelial cell,53,26,2,2,2_1,Capillary
E-271,all,142,33,1305,256,21,113500,0,0,0,0,0,E,97,Alveolar type 2 cell,43,11,1,1,1_3,AT2
E-272,all,34,14,757,277,14,26148,0,0,0,0,0,E,27,Venous endothelial cell,42,14,1,1,1_3,AT2
E-273,all,7,7,1219,1221,32,17269,0,0,0,0,0,E,2,Proliferative mesenchymal progenitor cell,27,9,3,3,3_1,SMC
E-274,all,34,25,710,358,20,67469,0,0,0,0,0,E,4,CD8+ T cell,41,25,1,1,1_2_1,Tcell (CD4)
E-277,all,73,35,270,1080,26,89635,0,0,0,0,0,E,15,Alveolar fibroblast 1,52,36,2,2,2_4,Artery
E-278,all,38,21,1048,1573,29,79230,327,0,327,0,1,E,12,Sox9+/Id2+ epithelial cell,41,21,2,2,2_1,Capillary
E-280,all,32,20,1872,245,27,44539,0,0,0,0,0,E,8,Sox9+/Id2+ epithelial cell,43,20,1,1,1_5_1,LymphaticEndo
E-282,all,22,16,171,758,28,51312,0,0,0,0,0,E,6,Pericyte,38,16,8,8,8_1,AlveolarMac
E-285,all,19,14,196,1608,24,22712,0,0,0,0,0,E,3,Endothelial progenitor cell,39,14,5,5,5_3,Pericyte
E-289,all,84,30,432,1499,27,73116,0,0,0,0,0,E,48,Alveolar type 2 cell,59,30,1,1,1_3,AT2
E-293,all,81,26,557,1060,28,58878,0,0,0,0,0,E,55,Alveolar type 2 cell,54,26,1,1,1_3,AT2
E-296,all,58,20,908,802,30,35847,0,0,0,0,0,E,37,Alveolar type 2 cell,55,21,3,3,3_1,SMC
E-300,all,134,32,1330,1382,17,84697,0,0,0,0,0,E,88,Alveolar type 2 cell,46,14,1,1,1_1,AT2
E-301,all,138,61,13,1030,14,141341,53,0,53,0,1,E,19,B cell,47,30,9,9,9,Bcell
E-303,all,116,43,1501,529,21,142933,0,0,0,0,0,E,19,Natural killer cell,45,21,6,6,6,AT1
E-306,all,27,17,1551,649,29,67682,0,0,0,0,0,E,5,Sox9+/Id2+ epithelial cell,43,18,2,2,2_1,Capillary
E-307,all,39,21,51,1225,35,39734,0,0,0,0,0,E,14,Natural killer cell,43,21,7,7,7_2,PatrolMac
E-309,all,85,29,1525,251,17,82808,0,0,0,0,0,E,53,AT1/AT2,57,29,6,6,6,AT1
E-310,all,93,39,1448,1819,14,59152,0,0,0,0,0,E,12,Alveolar type 1 cell,63,41,2,2,2_5,DC
E-314,all,68,21,773,928,19,61333,0,0,0,0,0,E,46,B cell,53,21,9,9,9,Bcell
E-315,all,39,17,522,82,23,53717,0,0,0,0,0,E,24,Venous endothelial cell,42,17,1,1,1_3,AT2
E-316,all,27,19,597,521,26,34176,0,0,0,0,0,E,3,Alveolar fibroblast 1,40,20,1,1,1_4_1,AlveolarFib
E-318,all,15,10,505,517,8,18368,0,0,0,0,0,E,3,Venous endothelial cell,31,10,2,2,2_3,Vein
