orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
F-163,all,17,11,1076,428,28,40425,0,0,0,0,0,F,2,Inflammatory monocyte,37,11,6,6,6,AT1
F-164,all,129,36,962,1718,19,75347,0,0,0,0,0,F,69,Alveolar type 2 cell,44,15,1,1,1_1,AT2
F-165,all,13,12,1110,1569,7,23497,0,0,0,0,0,F,4,Pericyte,32,12,5,5,5_1,Pericyte
F-166,all,65,27,1364,1611,25,73068,0,0,0,0,0,F,9,Arterial endothelial cell,57,27,6,6,6,AT1
F-167,all,35,20,529,1156,27,90713,0,0,0,0,0,F,4,Capillary 1 cell,42,20,8,8,8_1,AlveolarMac
F-171,all,25,15,1152,695,17,74786,0,0,0,0,0,F,4,Capillary 1 cell,46,15,2,2,2_1,Capillary
F-173,all,55,27,520,1421,27,91260,0,0,0,0,0,F,4,Capillary 1 cell,52,26,2,2,2_1,Capillary
F-174,all,51,26,723,1594,16,77051,0,0,0,0,0,F,12,Pericyte,51,26,5,5,5_3,Pericyte
F-175,all,53,29,969,552,19,72117,0,0,0,0,0,F,14,Capillary 1 cell,53,29,3,3,3_4,AdventitialFib
F-176,all,30,13,1286,815,25,78851,0,0,0,0,0,F,7,B cell,40,13,5,5,5_1,Pericyte
F-177,all,19,16,70,1925,15,58461,0,0,0,0,0,F,4,B cell,39,16,9,9,9,Bcell
F-178,all,7,5,166,1537,35,38207,0,0,0,0,0,F,2,Natural killer cell,24,7,2,2,2_2,InflamMac
F-179,all,15,13,1445,1305,24,36062,0,0,0,0,0,F,3,Capillary 1 cell,32,13,2,2,2_3,Vein
F-180,all,25,16,1903,1790,31,93959,0,0,0,0,0,F,7,Arterial endothelial cell,44,16,2,2,2_4,Artery
F-182,all,21,13,1406,1430,16,67704,0,0,0,0,0,F,4,Alveolar fibroblast 1,42,14,3,3,3_1,SMC
F-183,all,14,7,610,1280,13,27378,0,0,0,0,0,F,3,Alveolar fibroblast 1,38,8,2,2,2_1,Capillary
F-185,all,39,19,1735,586,12,92838,0,0,0,0,0,F,3,Alveolar fibroblast 1,43,19,1,1,1_5_1,LymphaticEndo
F-187,all,32,13,1037,561,21,47583,0,0,0,0,0,F,20,Alveolar type 2 cell,43,13,1,1,1_3,AT2
F-188,all,113,51,255,1061,19,142953,0,0,0,0,0,F,33,Pericyte,44,24,5,5,5_1,Pericyte
F-189,all,22,10,374,1287,27,27813,0,0,0,0,0,F,4,Mesothelial cell,44,10,3,3,3_3,AdventitialFib
F-190,all,39,14,1009,539,17,54301,0,0,0,0,0,F,27,CD4+ T cell,45,14,7,7,7_2,PatrolMac
F-191,all,10,9,686,203,8,31298,0,0,0,0,0,F,3,Alveolar fibroblast 1,27,9,3,3,3_4,AdventitialFib
F-193,all,17,11,1361,1229,32,91898,0,0,0,0,0,F,6,B cell,34,11,9,9,9,Bcell
F-194,all,18,11,1040,1737,5,9364,0,0,0,0,0,F,10,CD8+ T cell,36,11,7,7,7_4,PatrolMac
F-196,all,47,19,377,1250,25,39175,0,0,0,0,0,F,7,Alveolar type 1 cell,47,19,6,6,6,AT1
F-197,all,8,7,104,1197,30,16214,0,0,0,0,0,F,2,Sox9+/Id2+ epithelial cell,30,8,2,2,2_3,Vein
F-198,all,8,4,1926,813,8,23720,0,0,0,0,0,F,3,Capillary 1 cell,32,5,2,2,2_1,Capillary
F-199,all,34,20,1099,1414,25,68854,0,0,0,0,0,F,7,Natural killer cell,41,20,7,7,7_3,Tcell (CD8)
F-200,all,19,18,1788,1553,27,57895,0,0,0,0,0,F,4,Capillary 1 cell,37,18,6,6,6,AT1
F-202,all,40,26,1055,606,21,77080,0,0,0,0,0,F,4,Alveolar macrophage,42,27,3,3,3_1,SMC
F-204,all,72,14,1345,8,28,84092,0,0,0,0,0,F,3,Sox9+/Id2+ epithelial cell,52,15,1,1,1_6_2,Neutrophil
F-205,all,29,23,1564,94,23,83593,0,0,0,0,0,F,4,Sox9+/Id2+ epithelial cell,39,23,1,1,1_3,AT2
F-206,all,54,30,1008,1298,29,91449,0,0,0,0,0,F,5,Capillary 1 cell,54,31,2,2,2_1,Capillary
F-207,all,97,12,1860,410,16,63791,0,0,0,0,0,F,87,Alveolar type 2 cell,52,10,1,1,1_1,AT2
F-209,all,53,28,480,1599,20,83473,53,0,53,0,1,F,12,Pericyte,52,28,5,5,5_1,Pericyte
F-212,all,59,32,1540,1482,10,80511,0,0,0,0,0,F,14,B cell,55,32,9,9,9,Bcell
F-213,all,68,32,1839,823,27,128164,0,0,0,0,0,F,11,Sox9+/Id2+ epithelial cell,57,32,5,5,5_3,Pericyte
F-215,all,22,19,872,1559,28,36049,0,0,0,0,0,F,7,Inflammatory monocyte,41,19,2,2,2_1,Capillary
F-216,all,25,14,1785,1181,13,48262,0,0,0,0,0,F,5,Endothelial progenitor cell,43,14,3,3,3_6,SCMF
F-217,all,20,7,1525,748,25,63840,0,0,0,0,0,F,8,Alveolar type 2 cell,39,7,1,1,1_1,AT2
F-219,all,54,22,692,1542,22,33791,0,0,0,0,0,F,10,Alveolar type 1 cell,52,22,6,6,6,AT1
F-220,all,29,18,514,1377,19,57905,0,0,0,0,0,F,11,Pericyte,37,18,5,5,5_3,Pericyte
F-221,all,19,11,98,989,11,33853,0,0,0,0,0,F,5,Alveolar macrophage,36,11,8,8,8_1,AlveolarMac
F-222,all,50,27,180,1208,33,87204,0,0,0,0,0,F,20,Alveolar fibroblast 1,51,28,3,3,3_1,SMC
F-223,all,69,26,670,1568,21,49604,0,0,0,0,0,F,22,Alveolar type 1 cell,55,26,6,6,6,AT1
F-224,all,31,22,1748,165,5,33914,0,0,0,0,0,F,3,Arterial endothelial cell,41,23,2,2,2_4,Artery
F-225,all,27,17,1602,114,16,68458,0,0,0,0,0,F,9,Alveolar fibroblast 1,43,16,1,1,1_5_1,LymphaticEndo
F-227,all,23,10,1029,660,35,38815,0,0,0,0,0,F,5,Alveolar type 1 cell,42,10,6,6,6,AT1
F-231,all,15,4,1847,375,15,20123,0,0,0,0,0,F,13,Sox9+/Id2+ epithelial cell,39,4,1,1,1_1,AT2
F-232,all,9,5,1414,936,23,20327,0,0,0,0,0,F,2,Natural killer cell,31,6,2,2,2_2,InflamMac
F-235,all,31,12,646,1836,12,22567,0,0,0,0,0,F,22,Sox9+/Id2+ epithelial cell,42,12,1,1,1_3,AT2
F-236,all,36,14,649,1800,12,74270,0,0,0,0,0,F,11,Sox9+/Id2+ epithelial cell,45,15,2,2,2_1,Capillary
F-238,all,26,17,1888,861,28,87749,0,0,0,0,0,F,8,CD8+ T cell,45,17,7,7,7_2,PatrolMac
F-240,all,36,15,1054,647,29,32370,0,0,0,0,0,F,6,Alveolar fibroblast 1,43,15,6,6,6,AT1
