orig.ident,nCount_RNA,nFeature_RNA,x,y,z,volume,np,np_nuc,np_cyto,pctnuc,pctcyto,region,marker_reads,predicted.id,nCount_SCT,nFeature_SCT,SCT_snn_res.0.1,seurat_clusters,lung,cell_type
B-149,all,33,19,1081,778,32,31914,0,0,0,0,0,B,7,Arterial endothelial cell,43,20,2,2,2_4,Artery
B-150,all,145,28,180,459,30,87423,0,0,0,0,0,B,116,Alveolar type 2 cell,48,14,1,1,1_1,AT2
B-151,all,50,26,995,1145,20,49774,0,0,0,0,0,B,14,Alveolar type 1 cell,51,26,1,1,1_5_1,LymphaticEndo
B-152,all,21,13,449,1645,10,38910,0,0,0,0,0,B,6,Inflammatory monocyte,36,13,8,8,8_3,InterstitialMac
B-154,all,35,18,1026,434,37,27455,0,0,0,0,0,B,6,Alveolar type 1 cell,42,18,6,6,6,AT1
B-155,all,45,23,1201,742,27,70431,0,0,0,0,0,B,6,Capillary 2 cell,45,23,2,2,2_1,Capillary
B-159,all,20,12,664,145,37,22943,0,0,0,0,0,B,6,Alveolar type 1 cell,39,13,3,3,3_1,SMC
B-161,all,34,15,740,1322,8,60330,0,0,0,0,0,B,12,Capillary 1 cell,42,15,2,2,2_1,Capillary
B-165,all,242,22,288,202,24,70097,0,0,0,0,0,B,219,Ciliated cell,59,6,4,4,4_2,ClubEpi
B-166,all,46,22,498,53,7,67779,0,0,0,0,0,B,8,Capillary 2 cell,47,23,2,2,2_1,Capillary
B-167,all,17,13,1068,1742,20,53835,0,0,0,0,0,B,3,Arterial endothelial cell,42,14,2,2,2_4,Artery
B-170,all,65,31,868,1086,27,87748,0,0,0,0,0,B,11,Arterial endothelial cell,56,32,2,2,2_1,Capillary
B-171,all,41,20,1282,786,33,41468,0,0,0,0,0,B,11,Pericyte,43,20,5,5,5_1,Pericyte
B-172,all,24,13,1367,1198,11,36815,0,0,0,0,0,B,6,B cell,43,13,9,9,9,Bcell
B-174,all,36,24,823,1921,34,62215,0,0,0,0,0,B,7,Innate lymphoid cell,39,24,6,6,6,AT1
B-178,all,93,35,1161,822,22,116280,0,0,0,0,0,B,35,CD8+ T cell,55,33,6,6,6,AT1
B-180,all,69,21,1282,1774,23,63368,0,0,0,0,0,B,28,CD4+ T cell,54,21,2,2,2_1,Capillary
B-181,all,32,16,1201,1709,28,39081,0,0,0,0,0,B,5,Capillary 1 cell,44,17,2,2,2_1,Capillary
B-182,all,28,17,1265,700,19,32266,0,0,0,0,0,B,2,Arterial endothelial cell,40,17,2,2,2_4,Artery
B-183,all,10,8,1003,1327,33,19494,0,0,0,0,0,B,2,Alveolar type 1 cell,31,8,6,6,6,AT1
B-185,all,37,27,634,1047,27,40961,0,0,0,0,0,B,11,Alveolar type 1 cell,40,28,2,2,2_1,Capillary
B-186,all,50,21,747,907,15,59483,0,0,0,0,0,B,20,Arterial endothelial cell,50,21,2,2,2_4,Artery
B-188,all,32,13,923,1187,36,50687,0,0,0,0,0,B,16,Alveolar fibroblast 1,41,13,1,1,1_4_3,AlveolarFib
B-189,all,58,30,1011,1714,24,81297,0,0,0,0,0,B,15,Alveolar fibroblast 1,56,30,2,2,2_4,Artery
B-192,all,21,14,151,243,37,31558,0,0,0,0,0,B,8,Alveolar fibroblast 1,37,14,8,8,8_2,InterstitialMac
B-193,all,124,31,827,701,20,83841,0,0,0,0,0,B,27,Alveolar type 1 cell,46,15,6,6,6,AT1
B-195,all,56,21,1064,1257,15,73167,0,0,0,0,0,B,24,Alveolar fibroblast 1,53,21,1,1,1_4_3,AlveolarFib
B-197,all,20,12,1186,20,35,46950,0,0,0,0,0,B,4,Inflammatory monocyte,40,13,3,3,3_2,SMC
B-198,all,48,29,1123,279,32,49016,0,0,0,0,0,B,7,Alveolar type 1 cell,48,29,2,2,2_1,Capillary
B-202,all,13,11,1098,1057,10,33179,0,0,0,0,0,B,3,Capillary 2 cell,36,12,2,2,2_1,Capillary
B-203,all,92,35,822,813,24,80405,0,0,0,0,0,B,18,Alveolar fibroblast 1,61,34,1,1,1_4_3,AlveolarFib
